utc_time,TOF_Alt,Magx,Magy,Magz,Mag_heading,accelx,accely,accelz,angle roll,pitch,yaw,ldr
2014-09-24T01:30:00Z,2500.107,3.2454,2.2978,0.1888,35.299,0.0367,0.07591,0.01884,0.0524,-3.0232,149.9144,0.68019
2014-09-24T01:30:01Z,2499.621,3.4605,2.2865,0.1307,33.454,-0.00088,0.09949,0.03307,-0.0164,-2.9846,150.1499,0.68598
2014-09-24T01:30:02Z,2500.213,2.8855,2.2599,0.1345,38.068,-0.02911,0.04328,0.00529,0.0314,-2.877,149.8942,0.6827
2014-09-24T01:30:03Z,2500.231,3.3095,2.1946,0.13,33.549,0.01165,0.04635,0.05092,0.1056,-2.9706,150.0605,0.6824
2014-09-24T01:30:04Z,2499.157,3.0999,2.1104,0.1391,34.246,-0.00198,0.05476,-0.03112,0.135,-2.9549,149.9709,0.68536
2014-09-24T01:30:05Z,2499.311,3.207,2.0709,0.0601,32.852,-0.00068,0.06725,0.0195,0.1069,-2.9325,150.0709,0.68413
2014-09-24T01:30:06Z,2499.726,2.8352,2.3905,0.1607,40.136,0.01557,0.06239,-0.02265,0.1551,-2.8548,150.1788,0.7001
2014-09-24T01:30:07Z,2499.475,3.2999,2.3163,0.1508,35.066,0.02158,0.07506,0.0298,0.1762,-2.9781,149.9221,0.69115
2014-09-24T01:30:08Z,2499.475,3.1945,2.1018,0.111,33.343,0.00581,0.0318,0.01913,0.1608,-3.0523,150.0897,0.68637
2014-09-24T01:30:09Z,2499.067,3.0682,2.2166,0.2024,35.845,0.00402,0.06984,0.04932,0.1408,-3.0601,149.976,0.67707
2014-09-24T01:30:10Z,2499.549,3.167,2.1693,0.2109,34.41,0.05774,0.04134,0.01725,0.2695,-2.8719,150.1054,0.69122
2014-09-24T01:30:11Z,2499.38,2.9525,2.0495,0.1313,34.767,0.03678,0.05629,-0.00486,0.2544,-2.8997,150.0024,0.68945
2014-09-24T01:30:12Z,2498.988,2.9779,2.2501,0.1726,37.075,0.02821,0.10255,-0.00657,0.0855,-2.9305,150.1761,0.69041
2014-09-24T01:30:13Z,2499.209,2.9919,2.1652,0.403,35.893,0.01127,0.02487,-7e-05,0.2068,-2.9494,150.1307,0.70411
2014-09-24T01:30:14Z,2498.819,2.7809,2.0893,0.3993,36.917,-0.01654,0.05281,-0.00611,0.2552,-2.8806,150.2613,0.69845
2014-09-24T01:30:15Z,2498.187,3.186,2.0153,0.0819,32.316,0.03739,0.0279,0.04081,0.2984,-2.8708,150.3228,0.6856
2014-09-24T01:30:16Z,2498.441,3.2319,2.0065,0.0959,31.834,0.01343,0.06356,0.0395,0.4316,-2.8417,150.2143,0.70524
2014-09-24T01:30:17Z,2497.794,2.9458,2.1904,0.0816,36.633,-0.004,0.08591,-0.02933,0.6122,-2.9613,150.3159,0.68886
2014-09-24T01:30:18Z,2498.246,3.0994,2.2371,0.2932,35.821,0.00496,0.06391,0.00952,0.18,-3.0063,150.3781,0.70828
2014-09-24T01:30:19Z,2497.722,3.005,2.1234,0.1478,35.246,-0.0125,0.05671,0.0106,0.4217,-2.9307,150.161,0.70015
2014-09-24T01:30:20Z,2497.469,3.0912,2.3568,0.2117,37.322,0.03869,0.0928,-0.01002,0.4235,-2.9583,150.41,0.70584
2014-09-24T01:30:21Z,2497.082,2.9453,2.254,0.3875,37.427,0.02994,0.06781,0.02094,0.4241,-2.9549,150.2761,0.70614
2014-09-24T01:30:22Z,2497.528,2.903,2.3541,0.1868,39.039,0.01801,0.07999,0.04698,0.5025,-2.7097,150.1952,0.70634
2014-09-24T01:30:23Z,2496.818,3.1913,2.2452,0.2586,35.128,0.01301,0.07733,0.03323,0.4915,-3.0091,150.3362,0.71038
