target,horizon,mae,rmse,r2,mean_pinball,picp_90,mpiw_90,picp_80,mpiw_80,picp_50,mpiw_50
Mag_heading,1,12.7213,17.1155,-0.737989,7.1001,24.11,7.3336,17.76,5.6866,8.79,2.804
Magx,1,0.178,0.2219,-1.074781,0.0509,93.27,0.8182,79.81,0.5648,43.55,0.2637
Magy,1,0.1633,0.2037,0.80603,0.0502,98.69,1.0305,88.97,0.6822,64.49,0.3853
Magz,1,0.1133,0.1446,-0.965628,0.034,94.58,0.5698,92.52,0.4901,54.39,0.1971
angle roll,1,0.0938,0.1173,0.993521,0.0276,96.64,0.4961,79.25,0.3006,62.43,0.2145
pitch,1,0.1174,0.1456,0.872776,0.0303,94.58,0.4913,89.35,0.4114,52.15,0.1742
yaw,1,0.116,0.1458,0.912619,0.0341,92.9,0.5478,89.35,0.4805,61.12,0.2639
TOF_Alt,1,8.9917,9.0388,0.999958,4.2337,0.0,2.4319,0.0,1.5616,0.0,0.796
Mag_heading,3,12.4208,16.7408,-0.688085,6.9967,20.93,6.2758,18.69,5.1206,10.65,2.8382
Magx,3,0.1713,0.2142,-0.976345,0.0493,93.64,0.8148,82.62,0.5997,60.75,0.3664
Magy,3,0.1762,0.2219,0.767132,0.0499,92.15,0.7608,80.93,0.562,49.35,0.2849
Magz,3,0.117,0.1457,-0.994965,0.0336,92.15,0.5123,88.97,0.4632,61.12,0.2496
angle roll,3,0.0969,0.1224,0.992912,0.0297,99.63,0.6806,88.97,0.4107,50.65,0.1649
pitch,3,0.0979,0.1224,0.907582,0.0294,83.36,0.3922,71.4,0.2724,35.51,0.1078
yaw,3,0.1316,0.1616,0.89474,0.0367,97.57,0.6727,86.17,0.442,43.55,0.1925
TOF_Alt,3,27.1522,27.2521,0.999621,13.2085,0.0,3.4014,0.0,2.4437,0.0,1.1498
Mag_heading,5,12.0426,16.1065,-0.81846,6.9956,25.23,6.5564,20.37,5.1617,12.9,3.014
Magx,5,0.1781,0.2259,-1.196384,0.0502,93.27,0.8003,82.8,0.5745,65.42,0.4048
Magy,5,0.1737,0.215,0.778199,0.0512,98.5,1.0852,88.6,0.6834,56.26,0.3501
Magz,5,0.1178,0.147,-1.032466,0.0348,98.69,0.8312,81.87,0.3857,55.33,0.2177
angle roll,5,0.1188,0.1473,0.989692,0.033,95.33,0.6045,85.23,0.3949,60.0,0.2487
pitch,5,0.1016,0.1308,0.89191,0.0302,96.07,0.5832,85.79,0.3625,51.78,0.1765
yaw,5,0.113,0.141,0.920962,0.0351,95.89,0.7908,91.4,0.5105,51.4,0.2073
TOF_Alt,5,45.3891,45.5437,0.998943,22.181,0.0,3.9744,0.0,3.3719,0.0,1.8211
